# 256^3 magnetised run, dir_rot256. Extended past the original 12 s target:
# rows now run to t = 26.5 s, from the chained continuation towards 60 s.
# tools/fbtbp.cpp with rho_cut = 1.0e5 g/cm^3 -- the STAR, not the box.
# Same window and same columns as the 192^3 run, so the two are comparable
# over growth, saturation AND decay. bt_bp_256.csv is the earlier subset
# (t < 5.14, cfl = 0.5, before the restart); this file supersedes it.
# Rows sorted by t: the plotfile numbering jumps back at the restart, so
# lexical order of plt????? is not time order. plt02100 is at t = 5.043 and
# plt02141, written after the restart, at t = 5.000.
#
# The last four columns were added in a second pass. Bt_over_Bp_amp, R_eq_e8,
# Om_mean and Om_mid complete the set, so the two grids now carry EVERY column
# of tools/fbtbp.cpp over the same window.
# Energies erg. Fields GAUSS. B_c = 4.4140e13 G. Lz g cm^2/s. Omega rad/s.
t,E_tor,E_pol,B_max_G,B_over_Bc,M_Msun,R_vol_e8,Rpol_over_Req,Lz_star,Om_core,Om_out,Lz_inner,Lz_outer,Lz_ratio,Bt_over_Bp_amp,R_eq_e8,Om_mean,Om_mid
0.00000,6.05641e+49,1.16010e+44,3.20407e+13,7.25889e-01,2.00646e+00,3.06921e+00,0.4312,1.97917e+50,7.85634e+00,2.56028e+00,2.77445e+49,1.70172e+50,6.13355e+00,3.80825e+02,3.75037e+00,4.76117e+00,3.87083e+00
0.03203,6.06066e+49,8.34655e+43,3.23669e+13,7.33278e-01,2.00638e+00,3.05727e+00,0.4291,1.97905e+50,7.83169e+00,2.56058e+00,2.77314e+49,1.70173e+50,6.13649e+00,2.74835e+02,3.76878e+00,4.76201e+00,3.87093e+00
0.17034,6.05890e+49,1.39814e+45,3.68531e+13,8.34913e-01,2.00626e+00,3.02745e+00,0.4358,1.98341e+50,7.79775e+00,2.56136e+00,2.74017e+49,1.70939e+50,6.23829e+00,6.60180e+01,3.71061e+00,4.76004e+00,3.87208e+00
0.30859,6.04755e+49,2.76085e+45,4.13892e+13,9.37680e-01,2.00626e+00,3.02225e+00,0.4372,1.99471e+50,7.78843e+00,2.56173e+00,2.71247e+49,1.72346e+50,6.35385e+00,4.25649e+01,3.69927e+00,4.75725e+00,3.87238e+00
0.44686,5.98041e+49,5.22079e+45,4.54396e+13,1.02944e+00,2.00627e+00,3.02117e+00,0.4370,2.01265e+50,7.76959e+00,2.56289e+00,2.67511e+49,1.74514e+50,6.52363e+00,3.09841e+01,3.70060e+00,4.74939e+00,3.86831e+00
0.58522,5.82596e+49,8.00529e+45,4.72683e+13,1.07087e+00,2.00628e+00,3.02012e+00,0.4370,2.03965e+50,7.74348e+00,2.56325e+00,3.01122e+49,1.73853e+50,5.77350e+00,2.35617e+01,3.70060e+00,4.73302e+00,3.86330e+00
0.72375,5.58733e+49,1.04551e+46,4.73166e+13,1.07197e+00,2.00629e+00,3.01965e+00,0.4381,2.07902e+50,7.70880e+00,2.56320e+00,2.93796e+49,1.78522e+50,6.07640e+00,1.84254e+01,3.69124e+00,4.70465e+00,3.85552e+00
0.86262,5.25749e+49,1.41847e+46,4.52394e+13,1.02491e+00,2.00630e+00,3.02066e+00,0.4390,2.11967e+50,7.57553e+00,2.56139e+00,3.24544e+49,1.79513e+50,5.53122e+00,1.55645e+01,3.68387e+00,4.61053e+00,3.82917e+00
0.99100,4.80262e+49,1.76194e+46,4.02230e+13,9.11261e-01,2.00634e+00,3.03081e+00,0.4577,2.12556e+50,7.28772e+00,2.54885e+00,3.07874e+49,1.81769e+50,5.90400e+00,1.51215e+01,3.68655e+00,4.32649e+00,3.71754e+00
1.12856,4.38097e+49,1.61518e+46,3.71748e+13,8.42202e-01,2.00645e+00,3.06979e+00,0.4778,2.12532e+50,7.03146e+00,2.49716e+00,3.19855e+49,1.80546e+50,5.64462e+00,1.60441e+01,3.67916e+00,3.95817e+00,3.51469e+00
1.28105,4.13977e+49,1.73256e+46,3.74417e+13,8.48248e-01,2.00667e+00,3.17228e+00,0.5102,2.12493e+50,6.86440e+00,2.37583e+00,3.23863e+49,1.80107e+50,5.56120e+00,1.34091e+01,3.72125e+00,3.63476e+00,3.34003e+00
1.43568,4.03299e+49,2.39026e+46,3.93102e+13,8.90580e-01,2.00700e+00,3.39076e+00,0.5184,2.12421e+50,6.93290e+00,2.28589e+00,3.14520e+49,1.80969e+50,5.75380e+00,9.88139e+00,3.93373e+00,3.44960e+00,3.26461e+00
1.58674,4.03263e+49,3.46328e+46,4.29482e+13,9.73000e-01,2.00728e+00,3.61135e+00,0.4962,2.12364e+50,7.25098e+00,2.25859e+00,3.25006e+49,1.79863e+50,5.53415e+00,8.60865e+00,4.25144e+00,3.42141e+00,3.28015e+00
1.73353,4.11450e+49,4.99522e+46,4.80091e+13,1.08765e+00,2.00730e+00,3.72492e+00,0.4872,2.12344e+50,7.69480e+00,2.27663e+00,3.14907e+49,1.80853e+50,5.74308e+00,8.20063e+00,4.47411e+00,3.53845e+00,3.37225e+00
1.87606,4.23005e+49,6.99039e+46,5.32771e+13,1.20700e+00,2.00694e+00,3.72167e+00,0.4594,2.12305e+50,8.10492e+00,2.32956e+00,3.24592e+49,1.79846e+50,5.54067e+00,6.34127e+00,4.59190e+00,3.76638e+00,3.51186e+00
2.01486,4.30921e+49,9.77423e+46,5.80108e+13,1.31425e+00,2.00580e+00,3.55774e+00,0.4478,2.12149e+50,8.37686e+00,2.40856e+00,3.04635e+49,1.81686e+50,5.96405e+00,4.84767e+00,4.55351e+00,4.05183e+00,3.65157e+00
2.15173,4.31171e+49,1.29509e+47,6.16397e+13,1.39646e+00,2.00391e+00,3.23057e+00,0.4260,2.11695e+50,8.47395e+00,2.51248e+00,3.10553e+49,1.80639e+50,5.81671e+00,3.92932e+00,4.29137e+00,4.31049e+00,3.74379e+00
2.28047,4.24956e+49,1.59570e+47,6.24322e+13,1.41441e+00,2.00252e+00,2.92919e+00,0.4413,2.11140e+50,8.40651e+00,2.62309e+00,3.07244e+49,1.80416e+50,5.87207e+00,3.34975e+00,3.98307e+00,4.43296e+00,3.75846e+00
2.36428,4.18678e+49,1.76505e+47,6.23797e+13,1.41322e+00,2.00208e+00,2.81469e+00,0.4861,2.10883e+50,8.29886e+00,2.65454e+00,3.02399e+49,1.80643e+50,5.97367e+00,3.10532e+00,3.76090e+00,4.42881e+00,3.73319e+00
2.47107,4.09593e+49,1.99481e+47,6.19287e+13,1.40301e+00,2.00241e+00,2.89170e+00,0.5976,2.10783e+50,8.14170e+00,2.61129e+00,2.94279e+49,1.81355e+50,6.16271e+00,2.85728e+00,3.17654e+00,4.33313e+00,3.67916e+00
2.59972,3.95460e+49,2.50733e+47,6.24583e+13,1.41500e+00,2.00351e+00,3.13084e+00,0.5710,2.10788e+50,8.00925e+00,2.50602e+00,3.20461e+49,1.78742e+50,5.57764e+00,2.47895e+00,3.44818e+00,4.12799e+00,3.59972e+00
2.73339,3.77585e+49,3.30286e+47,6.27662e+13,1.42198e+00,2.00455e+00,3.32335e+00,0.5260,2.10793e+50,7.93322e+00,2.38966e+00,3.25898e+49,1.78203e+50,5.46806e+00,2.44258e+00,3.74311e+00,3.88298e+00,3.51378e+00
2.86596,3.64267e+49,4.05226e+47,6.37952e+13,1.44529e+00,2.00529e+00,3.44122e+00,0.4905,2.10798e+50,7.88384e+00,2.30877e+00,3.18097e+49,1.78988e+50,5.62685e+00,2.43308e+00,4.01336e+00,3.67434e+00,3.41965e+00
2.99675,3.55776e+49,4.94432e+47,6.57204e+13,1.48891e+00,2.00562e+00,3.48618e+00,0.4484,2.10804e+50,7.89082e+00,2.26435e+00,3.14361e+49,1.79368e+50,5.70579e+00,2.05511e+00,4.23337e+00,3.54935e+00,3.36353e+00
